ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.00,      7.57,2022-10-26 14:07:47.867826                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.23,      7.69,2022-10-26 14:07:48.626313                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.26,      8.19,2022-10-26 14:07:49.406217                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.89,      7.50,2022-10-26 14:07:50.173236                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.02,      6.22,2022-10-26 14:07:50.934658                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.65,      6.83,2022-10-26 14:07:51.699387                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.49,      7.03,2022-10-26 14:07:52.458243                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      5.59,      6.06,2022-10-26 14:07:53.219777                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      8.75,      9.09,2022-10-26 14:07:53.972217                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.55,      6.82,2022-10-26 14:07:54.752592                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.25,      6.27,2022-10-26 14:07:55.551929                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      5.02,      5.80,2022-10-26 14:07:56.310143                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.69,      7.17,2022-10-26 14:07:57.073787                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      5.82,      5.84,2022-10-26 14:07:57.838050                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      5.74,      6.28,2022-10-26 14:07:58.603344                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.44,      6.79,2022-10-26 14:07:59.376697                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.84,      7.77,2022-10-26 14:08:00.133286                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.43,      7.56,2022-10-26 14:08:00.901910                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.92,      7.37,2022-10-26 14:08:01.676794                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.35,      7.30,2022-10-26 14:08:02.437875                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.98,      7.59,2022-10-26 14:08:03.193890                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.76,      6.83,2022-10-26 14:08:03.953287                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.46,      7.48,2022-10-26 14:08:04.729881                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.29,      7.75,2022-10-26 14:08:05.482332                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.08,      7.53,2022-10-26 14:08:06.264830                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.45,      7.79,2022-10-26 14:08:07.030910                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.59,      7.89,2022-10-26 14:08:07.787039                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.05,      6.68,2022-10-26 14:08:08.550538                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.36,      6.84,2022-10-26 14:08:09.331233                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.83,      7.44,2022-10-26 14:08:10.130496                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.16,      7.69,2022-10-26 14:08:10.903841                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.55,      6.74,2022-10-26 14:08:11.695342                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      7.93,      8.43,2022-10-26 14:08:12.455314                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.64,      7.03,2022-10-26 14:08:13.215650                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.50,      7.24,2022-10-26 14:08:13.976948                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.81,      7.98,2022-10-26 14:08:14.734824                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      4.60,      4.60,2022-10-26 14:08:15.500216                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      5.21,      6.51,2022-10-26 14:08:16.258804                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      4.88,      5.50,2022-10-26 14:08:17.027745                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      4.33,      4.58,2022-10-26 14:08:17.787634                        
ROS128b_J_H2O_H2O_01.100_0001.3_180000_010.0_1.00e-05_1.02e+05_00.0             ,2.04e+04,9.76e+02,2.04e+04,       0.0,      6.92,      7.07,2022-10-26 14:08:18.547129                        
